"Test suite name","Buildings"
"Created on","2015-05-19 12:45:36 UTC"
"Updated on","2015-10-28 19:01:56 UTC"


"Id","Test case number","Title","Description","Test steps","Expected result","Created at","Updated at"
"766445","TC256","Castle - Upgrade","Can the user upgrade this building successfully?","1. From City view, click on the Castle.
2. Click ""Upgrade""
3. Click ""Upgrade""","If there are sufficient resources and nothing else is being built, the user can upgrade and the timer will start. If there are not enough resources ""Upgrade"" will be disabled.","2015-06-02 12:34:26 UTC","2015-06-02 12:38:38 UTC"
"766446","TC257","Castle - Info","Can the user see the information for this building?","1. From City view, click on the Castle.
2. Click ""Castle Info""","All the information required about building upgrades should be available.","2015-06-02 12:36:05 UTC","2015-06-02 12:36:05 UTC"
"766449","TC258","Castle - City Details","Can the user see the Ciy details?","1. From City view, click on the Castle. 
2. Click ""Castle Details""","The user should be able to see a breakdown of resources received hourly, a breakdown of troops. The option to rename the city and see it on a map.","2015-06-02 12:38:08 UTC","2015-06-02 12:38:08 UTC"
"766451","TC259","Wall - Upgrade","Can the user upgrade the wall successfully?","1. From City view, click on the Wall. 
2. Click ""Upgrade"" 
3. Click ""Upgrade""","If there are sufficient resources and nothing else is being built, the user can upgrade and the timer will start. If there are not enough resources ""Upgrade"" will be disabled.","2015-06-02 12:39:54 UTC","2015-06-02 12:39:54 UTC"
"766452","TC260","Wall - Info","Can the user see the information for the wall?","1. From City view, click on the Wall. 
2. Click ""More Information""","All the information required about wall upgrades should be available.","2015-06-02 12:40:57 UTC","2015-06-02 12:40:57 UTC"
"766455","TC261","Rural buildings - Upgrade","Can the user upgrade this building successfully?","1. From City view, click on a Farm, Iron Mine, Stone Quarry or Sawmill. 
2. Click ""Upgrade"" 
3. Click ""Upgrade""","If there are sufficient resources and nothing else is being built, the user can upgrade and the timer will start. If there are not enough resources ""Upgrade"" will be disabled.","2015-06-02 12:44:36 UTC","2015-06-02 12:44:36 UTC"
"766456","TC262","Rural buildings - Capacity/Production","Can the user see the capacity/production for that particular building and the entire city?","1. From City view, click on a Farm, Iron Mine, Stone Quarry or Sawmill.","The user will be able to see the capacity limit and production rate split between that particular building and what the entire city makes incorporating all of that particular type of resource.","2015-06-02 12:46:26 UTC","2015-06-02 12:46:26 UTC"
"766457","TC263","Rural buildings - Info","Can the user see the information for this building?","1. From City view, click on a Farm, Iron Mine, Stone Quarry or Sawmill.
2. Click ""More Information""","The level that, that particular building is should be highlighted.Rewards should be visible.","2015-06-02 12:48:18 UTC","2015-06-02 12:48:18 UTC"
"766460","TC264","Rural buildings - Get","Can the user get more resources instantly?","1. From City view, click on a Farm, Iron Mine, Stone Quarry or Sawmill.
2. Click ""Get [Food, Ore, Stone, Wood]""","The user should be taken to the item store to purchase more resources.","2015-06-02 12:49:50 UTC","2015-06-02 12:49:50 UTC"
"766461","TC265","Rural buildings - Deconstruct","Can the user remove buildings from their City?","1. From City view, click on a Farm, Iron Mine, Stone Quarry or Sawmill. 
2. Click ""Deconstruct""","The user should be taken to the items page where they can use a Torch to desconstruct the building.","2015-06-02 12:53:37 UTC","2015-06-02 12:53:37 UTC"
