"Test suite name","Footer"
"Created on","2015-05-19 12:44:12 UTC"
"Updated on","2015-06-10 04:20:58 UTC"


"Id","Test case number","Title","Description","Test steps","Expected result","Created at","Updated at"
"763483","TC110","View City","Can the user go back to City view, when looking at the map?","1. Ensure that you are in Map view.
2. Click on the castle icon of the footer in the bottom left.","The user should be taken back to the City view.","2015-05-29 06:57:05 UTC","2015-05-29 06:57:05 UTC"
"763484","TC111","World view - Visual","Can the user zoom in and out of the map and switch to full screen and back?","1. Whilst in World view, use a multi-finger gesture to pinch the screen.
2. Use a multi finger gesture to spread your fingers.
3. Click on the black square box icon in the header.
4. Click on the black square box icon again in the top right.","1. The screen should zoom in on the World view
2. The screen should zoom out on the World view
3. The World should show full screen.
4. The World should come out of full screen mode.","2015-05-29 07:02:31 UTC","2015-05-29 07:03:05 UTC"
"763485","TC112","World view - Navigation","Can the user navigate around World view freely?","1. Whilst in World view, use a a single-finger gesture to move around the World view.","The World should move in the expected direction, whilst a black arrow appears telling the user how far away from their main City they are.","2015-05-29 07:04:25 UTC","2015-05-29 07:04:25 UTC"
"763486","TC113","World view - Coordinates - Display","Does the user know the coordinates of where they are viewing in the World?","1. Whilst in World view, use a a single-finger gesture to move around the World view","At the bottom of the bar, when moving the coordinates should appear.","2015-05-29 07:08:20 UTC","2015-05-29 07:08:20 UTC"
"763487","TC114","World View - Jump to City","Can the user jump straight back to their City in one touch?","1. From within World view, ensure your city is not within the screen.
2. On the toolbar, click on the button in the header in the top right.","The user should be taken to their City within World view.","2015-05-29 07:09:43 UTC","2015-05-29 07:09:43 UTC"
"763489","TC115","World view - Coordinates - Search","Can the user search for coordinates on the map?","1. Whilst in World view, click on the second button in from the left on the toolbar.
2. Enter a massive number into the X and Y fields. (1,000 x 1,000)
3. Repeat step 1.
4. Enter a valid number into the X and Y fields.","After the first entry, the user should be notified that such coordinates do not exist.
Upon second entry, the user should be taken to the specified coordinates.","2015-05-29 07:13:04 UTC","2015-05-29 07:13:04 UTC"
"763490","TC116","World View - Bookmarks - View","Can the user see a list of their bookmarks?","1. Whilst in World view, click on the third button in from the left on the toolbar","This should show the user a list of bookmarks.","2015-05-29 07:16:05 UTC","2015-05-29 07:16:05 UTC"
"763492","TC117","World View - Bookmarks - Delete","Can the user delete bookmarks if not required?","1. Whilst in World view, click on the third button in from the left on the toolbar
2. Select a bookmarked area/City and click ""Delete""
3. Click ""No""
4. Repeat step 2.
5. Click ""Yes""","After stage 3, the bookmark should remain in the list. After step 5, the bookmark should have disappeared and notification shown to the user.","2015-05-29 07:20:56 UTC","2015-05-29 07:20:56 UTC"
"763495","TC118","World View - Bookmarks - Go To","Can the user jump to the location of a bookmark?","1. Whilst in World view, click on the third button in from the left on the toolbar 
2. Select a bookmarked area/City and click ""Go To""","The user should be taken to the location of the bookmark.","2015-05-29 07:24:17 UTC","2015-05-29 07:24:17 UTC"
"763499","TC119","World View - Areas","Can the user see what type of tile they have clicked on and what the coordinates are?","1. Click on a City.
2. Click on a Village.
3. Click on a Lake.
4. Click on a Desert.
5. Click on a Mountain
6. Click on a Forest
7. Click on a Plain
8. Click on Hills","The user should be able to see the following on each tile description, Name, Coordinates, Teleport and Bookmark.","2015-05-29 07:30:44 UTC","2015-05-29 07:30:44 UTC"
