"Test suite name","Items/Store"
"Created on","2015-05-19 12:44:50 UTC"
"Updated on","2015-06-12 07:42:59 UTC"


"Id","Test case number","Title","Description","Test steps","Expected result","Created at","Updated at"
"764913","TC158","Store - Special - Profile Renamer - Get","Can the user buy the Profile Renamer from the Store?","1. From anywhere in the game, click on Items on the footer.
2. Click the Store tab
3. Click the Special tab
4. Click ""Get"" Profile Renamer.","The number of total diamonds should reduce by 40 diamonds and will become available for use. The item will also display in the My Items tab.","2015-05-30 13:02:57 UTC","2015-05-30 13:18:58 UTC"
"764915","TC159","Store - Special - Profile Renamer - Use","Can the user use the Profile Renamer?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"".
5. Click ""Use""
6. Enter a new name for your profile.","The profile name should change.","2015-05-30 13:04:30 UTC","2015-05-30 13:04:30 UTC"
"764921","TC160","Store - Special - City Renamer - Get","Can the user buy the City Renamer from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" City Renamer.","The number of total diamonds should reduce by 30 diamonds and will become available for use. The item will also display in the My Items tab.","2015-05-30 13:18:42 UTC","2015-05-30 13:18:42 UTC"
"764922","TC161","Store - Special - City Renamer - Use","Can the user use the City Renamer?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"". 
5. Click ""Use"" 
6. Enter a new name for your City.","The City name should change.","2015-05-30 13:21:34 UTC","2015-05-30 13:21:34 UTC"
"764923","TC162","Store - Special - Hero Renamer - Get","Can the user buy the Hero Renamer from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Hero Renamer.","The number of total diamonds should reduce by 50 diamonds and will become available for use. The item will also display in the My Items tab.","2015-05-30 13:23:31 UTC","2015-05-30 13:23:31 UTC"
"764924","TC163","Store - Special - Hero Renamer - Use","Can the user use the Hero Renamer?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"". 
5. Click ""Use"" 
6. Enter a new name for your Hero.
7. Click ""OK"".","The Hero name should change.","2015-05-30 13:25:46 UTC","2015-05-30 13:25:46 UTC"
"764925","TC164","Store - Special - Profile Changer - Get","Can the user buy the Profile Changer from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Profile Pic Changer.","The number of total diamonds should reduce by 60 diamonds and will become available for use. The item will also display in the My Items tab.","2015-05-30 13:29:18 UTC","2015-05-30 13:29:18 UTC"
"764926","TC165","Store - Special - Profile Pic Changer - Use","Can the user use the Profile Pic Changer?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"". 
5. Click ""Use"" 
6. Find a new profile pic. 
7. Click ""USE THIS"".","The profile pic for the user should have changed.","2015-05-30 13:32:02 UTC","2015-05-30 13:32:02 UTC"
"764927","TC166","Store - Special - Hero Changer - Get","Can the user buy the Hero Changer from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Hero Changer.","The number of total diamonds should reduce by 100 diamonds and will become available for use. The item will also display in the My Items tab.","2015-05-30 13:36:31 UTC","2015-05-30 13:36:31 UTC"
"764928","TC167","Store - Special -Hero Changer - Use","Can the user use the Hero Changer?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"". 
5. Click ""Use"" 
6. Find a new Hero. 
7. Click ""USE THIS"".","The Hero will now change.","2015-05-30 13:38:30 UTC","2015-05-30 13:38:30 UTC"
"764929","TC168","Store - Special - Hero XP Booster - Get","Can the user buy the Hero XP Booster from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Hero XP Booster.","The number of total diamonds should reduce by 80 diamonds and will become available for use. The item will also display in the My Items tab","2015-05-30 13:42:15 UTC","2015-05-30 13:42:15 UTC"
"764930","TC169","Store - Special - Hero XP Booster - Use","Can the user use the Hero XP Booster?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"". 
5. Click ""Use""","Notification will appear that the Hero's XP has been increased.","2015-05-30 13:45:37 UTC","2015-05-30 13:45:37 UTC"
"764931","TC170","Store - Special - Torch - Get","Can the user buy the Torch from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Torch.","The number of total diamonds should reduce by 90 diamonds and will become available for use. The item will also display in the My Items tab","2015-05-30 13:47:57 UTC","2015-05-30 13:47:57 UTC"
"764932","TC171","Store - Special - Torch - Use","Can the user use the Torch?","1. From City View, click on a building
2. Click on ""Deconstruct""
3. Click ""Use"" for the Torch","The user should see that the Torch item has been used and the building disappears.","2015-05-30 13:50:17 UTC","2015-06-12 07:27:50 UTC"
"764950","TC172","Store - Special - Recall Attack - Get","Can the user buy a Recall Attack item from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Recall Attack.","The number of total diamonds should reduce by 300 diamonds and will become available for use. The item will also display in the My Items tab","2015-05-31 05:57:24 UTC","2015-05-31 05:57:24 UTC"
"764951","TC173","Store - Special - Recall Attack - Use","Can the user use the Recall Attack item?","Unknown...","Unknown...","2015-05-31 05:58:23 UTC","2015-06-12 07:42:59 UTC"
"764952","TC174","Store - Special - Alliance Renamer - Get","Can the user buy the Alliance Renamer from the Store?","1. From anywhere in the game, click on Items on the footer. 
2. Click the Store tab 
3. Click the Special tab 
4. Click ""Get"" Alliance Renamer.","The number of total diamonds should reduce by 100 diamonds. The item will also display in the My Items tab","2015-05-31 06:01:18 UTC","2015-05-31 06:07:19 UTC"
